chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.394701511,2220.132202,2301.103883,4627.813683,0.099472943,-204.7058563,57.97299576,7.134052277,19.17098045,4.291209698,12.52904892,0.088713564,3.84427762,0.17180784,2.488736391,-1.981942654,1.434414625,-3.654481411,1.432427049,-3.225222826,-2.202785254,-5.816960812,1.788692117,-1.278208613,4.641281605,happy
0.310329556,2657.978972,2498.765127,5634.382596,0.110969473,-89.16646576,68.17850494,4.23684454,25.61083794,4.537873745,3.853429556,-10.89889717,1.495119095,-11.32946968,-3.792244196,-12.10394764,-5.6330266,-8.026823997,-8.015897751,-8.539790154,-5.056044102,-10.33893299,-8.464215279,-11.69518661,-2.818225861,happy
0.307031482,2294.881794,2287.278405,4781.812752,0.096938189,-155.2254028,86.43933868,-9.454982758,14.05807781,-3.373380184,-10.65811729,1.56784761,-11.759758,-11.72469711,-2.577026844,-14.23784924,1.577306628,-10.64366627,-5.212720394,-7.411290646,-5.546568871,-4.573776245,-4.131681919,-5.428636551,0.913460195,happy
0.29049781,1741.8431,2119.033671,3714.802537,0.0726821,-195.1941376,115.5985184,20.20039558,11.96782589,9.440020561,3.595051527,4.247633457,-1.570323467,7.616534233,3.48781991,1.531730652,-6.34100008,-11.83145046,1.382849574,-5.745777607,9.963092804,5.890292168,10.51848698,7.748828411,9.20201683,happy
0.371563196,2134.391316,2342.17942,4552.972469,0.091275714,-93.21443939,93.10734558,5.563984871,27.05064774,5.138276577,11.64758968,-3.676094055,5.259575367,-2.080863476,3.50736165,-3.106128693,-1.546124578,-3.81444478,0.980943263,-3.744973898,3.019945621,-10.14862633,-1.88359201,-4.258123398,1.279185176,happy
0.321192354,2515.971917,2687.975003,5644.890866,0.097440832,-116.4444427,81.15608978,-2.829106569,28.97799492,3.008996248,-9.826170921,3.407395124,-12.37190437,6.230340481,-0.309936911,-9.384142876,-0.223278508,-5.366747856,2.504308701,-7.773035526,-0.725997806,-1.324806213,2.44251132,-6.423775196,4.150482178,happy
0.402384996,2542.913385,2704.484792,5610.507741,0.101535667,-123.9117737,66.82589722,21.14895248,23.09721756,13.78934097,7.262679577,-1.50061202,7.86940527,-1.373359799,7.805960178,-3.2014153,4.569826126,-3.634529114,1.950816631,-2.633454084,-0.556761384,-1.04777205,-0.176412523,-2.62756443,3.76404953,happy
0.490281373,1637.545553,2077.298411,3494.787201,0.052856445,-166.0171509,103.5865326,3.850815296,25.63880539,12.40066528,13.27421474,-5.633121967,7.906319618,-1.696551681,4.364400387,3.44780302,4.645206451,-1.49263823,6.533093452,-2.502032518,2.495743036,-5.623271942,2.359583616,-4.622660637,0.89109987,happy
0.310905367,2543.016251,2459.42621,5272.72645,0.107732153,-184.422821,59.61184692,12.33322811,21.64600754,0.271031439,7.294548512,-8.191396713,2.406719446,-11.40918446,-7.24672699,-9.87131691,-10.97624493,-13.05032063,-8.129994392,-17.61263084,-11.93039417,-12.371171,-2.36440134,-8.200263023,-2.283358335,happy
0.446611643,1561.070766,1800.53907,3237.297091,0.059093369,-144.4504089,131.137619,3.199920893,21.79533005,7.035197258,4.871358871,4.312488556,10.44136333,4.401512146,8.267842293,1.83961606,5.443755627,1.897852898,2.704290628,2.16257906,1.403549194,-1.876030564,3.09500742,-4.384495735,3.136913776,happy
0.35925889,2574.974834,2539.194996,5448.942051,0.104309271,-128.4008942,64.17816162,-5.551049232,26.34827995,10.21649265,0.985984564,-20.89182854,-1.674062967,-10.94199467,-0.429328382,-4.460289001,-4.142801762,-4.661113739,6.768524647,2.023441315,0.073931575,-3.067452908,8.289415359,-0.077079371,4.796622276,happy
0.337792188,2499.430381,2471.194955,5337.459392,0.103713659,-94.99829102,82.49001312,-0.677165031,14.27092361,5.1528759,-2.24394393,-4.540097237,-5.513068676,-9.901122093,2.509028435,-2.839685917,6.673137188,-2.107702494,-1.863570333,-7.030347347,-1.490751028,-5.128141403,-0.222946361,-6.414156437,-0.985210299,happy
0.348808497,2444.841002,2468.45634,5301.267944,0.105993312,-103.1495972,89.87824249,-2.619234324,32.12084961,0.599826515,-5.824912071,6.142845154,-7.246179104,-1.091472268,-0.981597602,-10.47405148,-1.68040061,-13.22127628,3.14052844,-5.826081276,0.540067077,0.64309597,1.352984309,-1.728307009,-3.581006289,happy
0.341320634,2412.871168,2495.305287,5117.435722,0.099303632,-123.2359848,77.85688019,4.088421345,28.63279724,-1.112197757,8.406335831,-4.095467091,0.920430541,-1.548187971,-4.627070427,-6.039054394,-4.318714619,-11.10843945,-2.727272987,-15.47160149,-4.176241398,-13.94290257,-6.321518898,-6.071792603,-3.843682289,happy
0.302498519,2483.465904,2441.985484,5250.376585,0.119708649,-129.288681,96.72843933,-2.493708372,30.19769478,-5.21074152,-5.454471111,3.094020605,-11.18878651,0.12421561,-2.047391176,-8.111200333,4.802817345,-5.425508976,3.72961688,-6.470384121,-0.959642053,-0.366364956,-0.910660326,-2.732205391,3.043233871,happy
0.316981822,2581.74439,2827.912392,6123.32964,0.093434053,-104.4638977,74.18896484,29.03608131,25.64830971,12.14030266,20.104702,1.614386678,12.13691807,-4.233901978,7.242088318,-6.466803074,2.027545929,-7.99157238,-3.984221458,-3.935266495,-5.820446491,-7.55517292,0.426119953,-11.6103363,-4.163354397,happy
0.283974588,2217.51101,2499.702705,4664.463461,0.092358474,-151.9125366,97.74940491,2.594020128,15.58698082,10.18777847,-5.780453205,8.738434792,-11.71162701,-0.915492833,-0.204508021,-7.525611401,2.766062498,-1.60796988,5.535830021,-5.803810596,1.837786078,-2.119507551,4.109585762,1.187576175,0.328755111,happy
